utt_id,T,L,T_over_L,dead_frac,active_frac,ambig_frac,mean_entropy
4323-55228-0021,52,10,5.2,0.4230769230769231,0.3076923076923077,0.2692307692307692,0.23758451640605927
4323-55228-0022,110,26,4.230769230769231,0.4636363636363636,0.2818181818181818,0.2545454545454545,0.2261689454317093
4323-55228-0023,49,10,4.9,0.6326530612244898,0.1836734693877551,0.1836734693877551,0.12343525141477585
4323-55228-0024,104,32,3.25,0.3076923076923077,0.375,0.3173076923076923,0.2561671733856201
4323-55228-0025,90,28,3.2142857142857144,0.43333333333333335,0.3,0.26666666666666666,0.23037584125995636
4323-55228-0026,76,26,2.923076923076923,0.19736842105263158,0.42105263157894735,0.3815789473684211,0.29434478282928467
4323-55228-0027,104,32,3.25,0.22115384615384615,0.4230769230769231,0.3557692307692308,0.31960195302963257
4323-55228-0028,74,16,4.625,0.36486486486486486,0.3918918918918919,0.24324324324324326,0.2503260374069214
4323-55228-0029,95,20,4.75,0.5578947368421052,0.21052631578947367,0.23157894736842105,0.1769520342350006
4323-55228-0030,151,22,6.863636363636363,0.5827814569536424,0.2119205298013245,0.2052980132450331,0.16640262305736542
4323-55228-0031,51,16,3.1875,0.23529411764705882,0.47058823529411764,0.29411764705882354,0.29836615920066833
4323-55228-0032,102,18,5.666666666666667,0.38235294117647056,0.3235294117647059,0.29411764705882354,0.2592945992946625
4323-55228-0033,104,22,4.7272727272727275,0.46153846153846156,0.25,0.28846153846153844,0.1901569664478302
4323-55228-0034,80,16,5.0,0.4625,0.2875,0.25,0.21550612151622772
4323-55228-0035,92,24,3.8333333333333335,0.2826086956521739,0.358695652173913,0.358695652173913,0.26863980293273926
4323-55228-0036,287,100,2.87,0.33797909407665505,0.34146341463414637,0.3205574912891986,0.24524027109146118
4323-55228-0037,146,46,3.1739130434782608,0.3150684931506849,0.3424657534246575,0.3424657534246575,0.27589094638824463
4323-55228-0038,47,8,5.875,0.44680851063829785,0.2765957446808511,0.2765957446808511,0.22383396327495575
4323-55228-0039,86,30,2.8666666666666667,0.37209302325581395,0.313953488372093,0.313953488372093,0.2139616459608078
4323-55228-0040,137,46,2.9782608695652173,0.30656934306569344,0.35766423357664234,0.3357664233576642,0.28147387504577637
4323-55228-0041,192,50,3.84,0.3697916666666667,0.3125,0.3177083333333333,0.2564786672592163
4323-55228-0042,118,26,4.538461538461538,0.4661016949152542,0.288135593220339,0.2457627118644068,0.18531270325183868
4323-55228-0043,131,44,2.977272727272727,0.32061068702290074,0.3969465648854962,0.2824427480916031,0.25003179907798767
4323-55228-0044,108,24,4.5,0.3425925925925926,0.3148148148148148,0.3425925925925926,0.25695836544036865
4323-55228-0045,46,6,7.666666666666667,0.6086956521739131,0.13043478260869565,0.2608695652173913,0.1414920836687088
4323-55228-0046,68,26,2.6153846153846154,0.14705882352941177,0.5147058823529411,0.3382352941176471,0.2883274257183075
4323-55228-0047,91,28,3.25,0.3956043956043956,0.25274725274725274,0.3516483516483517,0.2124244123697281
4323-55228-0048,69,14,4.928571428571429,0.5072463768115942,0.2463768115942029,0.2463768115942029,0.21660581231117249
4323-55228-0049,61,18,3.388888888888889,0.2459016393442623,0.4426229508196721,0.3114754098360656,0.2464173585176468
4323-55228-0050,50,8,6.25,0.4,0.34,0.26,0.23246221244335175
4323-55228-0051,81,24,3.375,0.3950617283950617,0.2962962962962963,0.30864197530864196,0.2176847606897354
4323-55228-0052,81,34,2.3823529411764706,0.18518518518518517,0.43209876543209874,0.38271604938271603,0.3094175457954407
4323-18416-0000,132,30,4.4,0.3484848484848485,0.3712121212121212,0.2803030303030303,0.23003412783145905
4323-18416-0001,65,24,2.7083333333333335,0.3230769230769231,0.3076923076923077,0.36923076923076925,0.3671388030052185
4323-18416-0002,84,26,3.230769230769231,0.27380952380952384,0.42857142857142855,0.2976190476190476,0.2504710257053375
4323-18416-0003,66,22,3.0,0.3939393939393939,0.2878787878787879,0.3181818181818182,0.28294670581817627
4323-18416-0004,78,20,3.9,0.44871794871794873,0.32051282051282054,0.23076923076923078,0.22974830865859985
4323-18416-0005,84,22,3.8181818181818183,0.35714285714285715,0.30952380952380953,0.3333333333333333,0.21041914820671082
4323-18416-0006,145,40,3.625,0.25517241379310346,0.4206896551724138,0.32413793103448274,0.280248761177063
4323-18416-0007,86,24,3.5833333333333335,0.3372093023255814,0.3372093023255814,0.32558139534883723,0.23710200190544128
4323-18416-0008,78,20,3.9,0.2948717948717949,0.41025641025641024,0.2948717948717949,0.2758581340312958
4323-18416-0009,147,40,3.675,0.2857142857142857,0.4013605442176871,0.3129251700680272,0.2812313735485077
4323-18416-0010,128,40,3.2,0.3515625,0.328125,0.3203125,0.22904613614082336
4323-18416-0011,232,74,3.135135135135135,0.3146551724137931,0.3620689655172414,0.3232758620689655,0.24580290913581848
4323-18416-0012,41,12,3.4166666666666665,0.5365853658536586,0.21951219512195122,0.24390243902439024,0.16022904217243195
4323-18416-0013,89,28,3.1785714285714284,0.3707865168539326,0.3595505617977528,0.2696629213483146,0.23387101292610168
4323-18416-0014,240,60,4.0,0.35,0.3458333333333333,0.30416666666666664,0.26553085446357727
4323-18416-0015,122,42,2.9047619047619047,0.3524590163934426,0.319672131147541,0.32786885245901637,0.19073553383350372
4323-18416-0016,108,34,3.176470588235294,0.3055555555555556,0.35185185185185186,0.3425925925925926,0.22904592752456665
4323-18416-0017,68,12,5.666666666666667,0.4264705882352941,0.3088235294117647,0.2647058823529412,0.235708549618721
4323-18416-0018,250,78,3.2051282051282053,0.34,0.344,0.316,0.23720283806324005
4323-18416-0019,116,20,5.8,0.3448275862068966,0.3706896551724138,0.28448275862068967,0.2716234028339386
