utt_id,condition,mbr_wer,greedy_wer,n_unique,oracle_in_set
8288-274162-0007,flat_sampling,0.111111,0.111111,16,False
8288-274162-0008,flat_sampling,0.0,0.0,16,True
8288-274162-0009,flat_sampling,0.0,0.071429,16,True
8288-274162-0010,flat_sampling,0.0,0.0,5,True
8288-274162-0011,flat_sampling,0.0,0.166667,16,True
8288-274162-0012,flat_sampling,0.0,0.0,5,True
8288-274162-0013,flat_sampling,0.0,0.0,16,True
8288-274162-0014,flat_sampling,0.0625,0.0625,16,False
8288-274162-0015,flat_sampling,0.0,0.0,16,True
8288-274162-0016,flat_sampling,0.0,0.0,12,True
8288-274162-0017,flat_sampling,0.428571,0.428571,16,False
8288-274162-0018,flat_sampling,0.0,0.0,16,True
8288-274162-0019,flat_sampling,0.04,0.08,16,False
8288-274162-0020,flat_sampling,0.0,0.0,16,True
8288-274162-0021,flat_sampling,0.0,0.0,16,True
8288-274162-0022,flat_sampling,0.166667,0.0,16,True
8288-274162-0023,flat_sampling,0.0,0.0,9,True
8288-274162-0024,flat_sampling,0.2,0.2,16,False
8288-274162-0025,flat_sampling,0.1,0.2,16,False
8288-274162-0026,flat_sampling,0.0,0.0,2,True
8288-274162-0027,flat_sampling,0.25,0.125,16,False
8288-274162-0028,flat_sampling,0.0,0.0,16,True
8288-274162-0029,flat_sampling,0.0,0.0,6,True
8288-274162-0030,flat_sampling,0.0,0.0,16,True
8288-274162-0031,flat_sampling,0.333333,0.333333,16,False
8288-274162-0032,flat_sampling,0.333333,0.333333,16,False
8288-274162-0033,flat_sampling,0.142857,0.142857,16,False
8288-274162-0034,flat_sampling,0.0,0.0,2,True
8288-274162-0035,flat_sampling,0.078431,0.078431,16,False
8288-274162-0036,flat_sampling,0.0,0.0,16,True
8288-274162-0037,flat_sampling,0.428571,0.428571,16,False
8288-274162-0038,flat_sampling,0.166667,0.0,16,True
8288-274162-0039,flat_sampling,0.1,0.1,16,False
8288-274162-0040,flat_sampling,0.125,0.125,16,True
8288-274162-0041,flat_sampling,0.111111,0.0,16,True
8288-274162-0042,flat_sampling,0.583333,0.583333,16,False
8288-274162-0043,flat_sampling,0.25,0.25,16,False
8288-274162-0044,flat_sampling,0.052632,0.052632,16,False
8288-274162-0045,flat_sampling,0.214286,0.214286,16,False
8288-274162-0046,flat_sampling,0.5,0.5,16,False
8288-274162-0047,flat_sampling,0.434783,0.434783,16,False
8288-274162-0048,flat_sampling,0.333333,0.333333,16,False
8288-274162-0049,flat_sampling,0.25,0.0,16,True
8288-274162-0050,flat_sampling,0.0,0.0,16,True
8288-274162-0051,flat_sampling,0.0,0.0,16,True
8288-274162-0052,flat_sampling,0.454545,0.454545,16,False
8288-274162-0053,flat_sampling,0.0,0.0,3,True
8288-274162-0054,flat_sampling,0.045455,0.045455,16,False
8288-274162-0055,flat_sampling,0.181818,0.181818,16,True
8288-274162-0056,flat_sampling,0.4,0.0,5,True
8288-274162-0057,flat_sampling,0.0,0.0,16,True
8288-274162-0058,flat_sampling,0.263158,0.263158,16,False
8288-274162-0059,flat_sampling,0.0,0.0,8,True
8288-274162-0060,flat_sampling,0.157895,0.157895,16,False
8288-274162-0061,flat_sampling,0.0,0.0,5,True
8288-274162-0062,flat_sampling,0.0,0.0,3,True
8288-274162-0063,flat_sampling,0.5,0.333333,16,False
8288-274162-0064,flat_sampling,0.066667,0.066667,16,False
8288-274162-0065,flat_sampling,0.272727,0.272727,16,False
8288-274162-0066,flat_sampling,0.095238,0.095238,16,False
5543-27761-0000,flat_sampling,0.4,0.4,16,False
5543-27761-0001,flat_sampling,0.0,0.0,16,True
5543-27761-0002,flat_sampling,0.333333,0.222222,16,False
